;precio;calorias;poralcoh;tipo;origen
1;6.24;159;5.2;1;1
2;4.79;160;5;1;1
3;5.96;160;4.9;1;1
4;4.7;162;4.9;1;1
5;4.11;157;5.5;1;1
6;3.85;151;4.9;1;1
7;2.52;155;4.7;1;1
8;5.46;135;5.1;1;1
9;6;162;5.4;1;1
10;3.71;142;4.8;1;1
11;6.7;146;4.4;1;1
12;4.99;148;4.3;1;1
13;4.1;170;5.1;1;1
14;5.96;160;5;2;1
15;6.31;172;5.8;2;1
16;6.42;170;5.9;2;1
17;7.79;184;6;2;1
18;5.05;201;5.6;2;1
19;5.26;155;4.7;2;1
20;5.84;170;5.3;2;1
21;7.22;158;4.9;2;1
22;6.12;159;5.4;2;1
23;7.37;150;5.1;2;0
24;6.47;177;5.6;2;1
25;6.72;146;3.7;2;1
26;7.59;151;4.9;2;1
27;6.36;163;5.3;2;1
28;6.52;186;5.9;2;1
29;6.34;168;5.9;2;1
30;7.1;142;4.7;2;1
31;4.78;148;5;3;0
32;4.63;150;5;3;0
33;5.41;140;5;3;0
34;6.39;150;5;3;0
35;5.52;160;4.8;3;0
36;6.38;160;5;3;0
37;5.68;148;4.6;3;0
38;5.82;148;4.9;3;0
39;5.83;148;4.3;3;0
40;7.8;160;4.1;3;0
41;2.82;145;4.5;4;1
42;3.2;142;4.4;4;1
43;3.83;147;5;4;1
44;4.02;148;4.9;4;1
45;3.88;149;5.5;4;1
46;4.79;155;5.6;4;0
47;4;159;5;4;1
48;3.95;148;5.5;4;1
49;3.27;143;4.9;4;1
50;4.02;137;4.6;4;1
51;3.26;153;4.6;4;1
52;3.19;143;5;4;1
53;2.9;144;4.7;4;1
54;2.36;133;4.6;4;1
55;3.93;143;5;4;1
56;4.25;143;4.6;4;1
57;4.03;134;4.3;5;1
58;4.02;110;4.2;5;1
59;2.86;110;4.2;5;1
60;4.03;105;4.2;5;1
61;4.02;96;4.5;5;1
62;6.49;95;3.6;5;0
63;3.24;58;0;5;1
64;3.6;82;0;5;1
65;2.99;60;0;5;1
66;2.75;72;0;5;1
67;3.9;70;0;5;1
68;5.42;71;0;5;0
69;5.63;96;0;5;0
70;6.24;159;5.2;1;1
71;4.79;160;5;1;1
72;5.96;160;4.9;1;1
73;4.7;162;4.9;1;1
74;4.11;157;5.5;1;1
75;3.85;151;4.9;1;1
76;2.52;155;4.7;1;1
77;5.46;135;5.1;1;1
78;6;162;5.4;1;1
79;3.71;142;4.8;1;1
80;6.7;146;4.4;1;1
81;4.99;148;4.3;1;1
82;4.1;170;5.1;1;1
83;5.96;160;5;2;1
84;6.31;172;5.8;2;1
85;6.42;170;5.9;2;1
86;7.79;184;6;2;1
87;5.05;201;5.6;2;1
88;5.26;155;4.7;2;1
89;5.84;170;5.3;2;1
90;7.22;158;4.9;2;1
91;6.12;159;5.4;2;1
92;7.37;150;5.1;2;0
93;6.47;177;5.6;2;1
94;6.72;146;3.7;2;1
95;7.59;151;4.9;2;1
96;6.36;163;5.3;2;1
97;6.52;186;5.9;2;1
98;6.34;168;5.9;2;1
99;7.1;142;4.7;2;1
100;4.78;148;5;3;0
101;4.63;150;5;3;0
102;5.41;140;5;3;0
103;6.39;150;5;3;0
104;5.52;160;4.8;3;0
105;6.38;160;5;3;0
106;5.68;148;4.6;3;0
107;5.82;148;4.9;3;0
108;5.83;148;4.3;3;0
109;7.8;160;4.1;3;0
110;2.82;145;4.5;4;1
111;3.2;142;4.4;4;1
112;3.83;147;5;4;1
113;4.02;148;4.9;4;1
114;3.88;149;5.5;4;1
115;4.79;155;5.6;4;0
116;4;159;5;4;1
117;3.95;148;5.5;4;1
118;3.27;143;4.9;4;1
119;4.02;137;4.6;4;1
120;3.26;153;4.6;4;1
121;3.19;143;5;4;1
122;2.9;144;4.7;4;1
123;2.36;133;4.6;4;1
124;3.93;143;5;4;1
125;4.25;143;4.6;4;1
126;4.03;134;4.3;5;1
127;4.02;110;4.2;5;1
128;2.86;110;4.2;5;1
129;4.03;105;4.2;5;1
130;4.02;96;4.5;5;1
131;6.49;95;3.6;5;0
132;3.24;58;0;5;1
133;3.6;82;0;5;1
134;2.99;60;0;5;1
135;2.75;72;0;5;1
136;3.9;70;0;5;1
137;5.42;71;0;5;0
138;5.63;96;0;5;0
139;6.24;159;5.2;1;1
140;4.79;160;5;1;1
141;5.96;160;4.9;1;1
142;4.7;162;4.9;1;1
143;4.11;157;5.5;1;1
144;3.85;151;4.9;1;1
145;2.52;155;4.7;1;1
146;5.46;135;5.1;1;1
147;6;162;5.4;1;1
148;3.71;142;4.8;1;1
149;6.7;146;4.4;1;1
150;4.99;148;4.3;1;1
151;4.1;170;5.1;1;1
152;5.96;160;5;2;1
153;6.31;172;5.8;2;1
154;6.42;170;5.9;2;1
155;7.79;184;6;2;1
156;5.05;201;5.6;2;1
157;5.26;155;4.7;2;1
158;5.84;170;5.3;2;1
159;7.22;158;4.9;2;1
160;6.12;159;5.4;2;1
161;7.37;150;5.1;2;0
162;6.47;177;5.6;2;1
163;6.72;146;3.7;2;1
164;7.59;151;4.9;2;1
165;6.36;163;5.3;2;1
166;6.52;186;5.9;2;1
167;6.34;168;5.9;2;1
168;7.1;142;4.7;2;1
169;4.78;148;5;3;0
170;4.63;150;5;3;0
171;5.41;140;5;3;0
172;6.39;150;5;3;0
173;5.52;160;4.8;3;0
174;6.38;160;5;3;0
175;5.68;148;4.6;3;0
176;5.82;148;4.9;3;0
177;5.83;148;4.3;3;0
178;7.8;160;4.1;3;0
179;2.82;145;4.5;4;1
180;3.2;142;4.4;4;1
181;3.83;147;5;4;1
182;4.02;148;4.9;4;1
183;3.88;149;5.5;4;1
184;4.79;155;5.6;4;0
185;4;159;5;4;1
186;3.95;148;5.5;4;1
187;3.27;143;4.9;4;1
188;4.02;137;4.6;4;1
189;3.26;153;4.6;4;1
190;3.19;143;5;4;1
191;2.9;144;4.7;4;1
192;2.36;133;4.6;4;1
193;3.93;143;5;4;1
194;4.25;143;4.6;4;1
195;4.03;134;4.3;5;1
196;4.02;110;4.2;5;1
197;2.86;110;4.2;5;1
198;4.03;105;4.2;5;1
199;4.02;96;4.5;5;1
200;6.49;95;3.6;5;0
201;3.24;58;0;5;1
202;3.6;82;0;5;1
203;2.99;60;0;5;1
204;2.75;72;0;5;1
205;3.9;70;0;5;1
206;5.42;71;0;5;0
207;5.63;96;0;5;0
208;6.24;159;5.2;1;1
209;4.79;160;5;1;1
210;5.96;160;4.9;1;1
211;4.7;162;4.9;1;1
212;4.11;157;5.5;1;1
213;3.85;151;4.9;1;1
214;2.52;155;4.7;1;1
215;5.46;135;5.1;1;1
216;6;162;5.4;1;1
217;3.71;142;4.8;1;1
218;6.7;146;4.4;1;1
219;4.99;148;4.3;1;1
220;4.1;170;5.1;1;1
221;5.96;160;5;2;1
222;6.31;172;5.8;2;1
223;6.42;170;5.9;2;1
224;7.79;184;6;2;1
225;5.05;201;5.6;2;1
226;5.26;155;4.7;2;1
227;5.84;170;5.3;2;1
228;7.22;158;4.9;2;1
229;6.12;159;5.4;2;1
230;7.37;150;5.1;2;0
231;6.47;177;5.6;2;1
232;6.72;146;3.7;2;1
233;7.59;151;4.9;2;1
234;6.36;163;5.3;2;1
235;6.52;186;5.9;2;1
236;6.34;168;5.9;2;1
237;7.1;142;4.7;2;1
238;4.78;148;5;3;0
239;4.63;150;5;3;0
240;5.41;140;5;3;0
241;6.39;150;5;3;0
242;5.52;160;4.8;3;0
243;6.38;160;5;3;0
244;5.68;148;4.6;3;0
245;5.82;148;4.9;3;0
246;5.83;148;4.3;3;0
247;7.8;160;4.1;3;0
248;2.82;145;4.5;4;1
249;3.2;142;4.4;4;1
250;3.83;147;5;4;1
251;4.02;148;4.9;4;1
252;3.88;149;5.5;4;1
253;4.79;155;5.6;4;0
254;4;159;5;4;1
255;3.95;148;5.5;4;1
256;3.27;143;4.9;4;1
257;4.02;137;4.6;4;1
258;3.26;153;4.6;4;1
259;3.19;143;5;4;1
260;2.9;144;4.7;4;1
261;2.36;133;4.6;4;1
262;3.93;143;5;4;1
263;4.25;143;4.6;4;1
264;4.03;134;4.3;5;1
265;4.02;110;4.2;5;1
266;2.86;110;4.2;5;1
267;4.03;105;4.2;5;1
268;4.02;96;4.5;5;1
269;6.49;95;3.6;5;0
270;3.24;58;0;5;1
271;3.6;82;0;5;1
272;2.99;60;0;5;1
273;2.75;72;0;5;1
274;3.9;70;0;5;1
275;5.42;71;0;5;0
276;5.63;96;0;5;0
